series_id,year,period,period_name,value,month,date
APU0000FD3101,2000,M01,January,3.052,1,2000-01-01
APU0000FD3101,2000,M02,February,3.097,2,2000-02-01
APU0000FD3101,2000,M03,March,3.118,3,2000-03-01
APU0000FD3101,2000,M04,April,3.134,4,2000-04-01
APU0000FD3101,2000,M05,May,3.171,5,2000-05-01
APU0000FD3101,2000,M06,June,3.162,6,2000-06-01
APU0000FD3101,2000,M07,July,3.201,7,2000-07-01
APU0000FD3101,2000,M08,August,3.249,8,2000-08-01
APU0000FD3101,2000,M09,September,3.233,9,2000-09-01
APU0000FD3101,2000,M10,October,3.234,10,2000-10-01
APU0000FD3101,2000,M11,November,3.208,11,2000-11-01
APU0000FD3101,2000,M12,December,3.242,12,2000-12-01
APU0000FD3101,2001,M01,January,3.223,1,2001-01-01
APU0000FD3101,2001,M02,February,3.248,2,2001-02-01
APU0000FD3101,2001,M03,March,3.265,3,2001-03-01
APU0000FD3101,2001,M04,April,3.295,4,2001-04-01
APU0000FD3101,2001,M05,May,3.28,5,2001-05-01
APU0000FD3101,2001,M06,June,3.316,6,2001-06-01
APU0000FD3101,2001,M07,July,3.342,7,2001-07-01
APU0000FD3101,2001,M08,August,3.376,8,2001-08-01
APU0000FD3101,2001,M09,September,3.361,9,2001-09-01
APU0000FD3101,2001,M10,October,3.329,10,2001-10-01
APU0000FD3101,2001,M11,November,3.305,11,2001-11-01
APU0000FD3101,2001,M12,December,3.307,12,2001-12-01
APU0000FD3101,2002,M01,January,3.341,1,2002-01-01
APU0000FD3101,2002,M02,February,3.292,2,2002-02-01
APU0000FD3101,2002,M03,March,3.266,3,2002-03-01
APU0000FD3101,2002,M04,April,3.207,4,2002-04-01
APU0000FD3101,2002,M05,May,3.255,5,2002-05-01
APU0000FD3101,2002,M06,June,3.241,6,2002-06-01
APU0000FD3101,2002,M07,July,3.263,7,2002-07-01
APU0000FD3101,2002,M08,August,3.246,8,2002-08-01
APU0000FD3101,2002,M09,September,3.154,9,2002-09-01
APU0000FD3101,2002,M10,October,3.108,10,2002-10-01
APU0000FD3101,2002,M11,November,3.051,11,2002-11-01
APU0000FD3101,2002,M12,December,3.106,12,2002-12-01
APU0000FD3101,2003,M01,January,3.07,1,2003-01-01
APU0000FD3101,2003,M02,February,3.117,2,2003-02-01
APU0000FD3101,2003,M03,March,3.126,3,2003-03-01
APU0000FD3101,2003,M04,April,3.157,4,2003-04-01
APU0000FD3101,2003,M05,May,2.955,5,2003-05-01
APU0000FD3101,2003,M06,June,2.976,6,2003-06-01
APU0000FD3101,2003,M07,July,3.081,7,2003-07-01
APU0000FD3101,2003,M08,August,3.022,8,2003-08-01
APU0000FD3101,2003,M09,September,3.116,9,2003-09-01
APU0000FD3101,2003,M10,October,3.177,10,2003-10-01
APU0000FD3101,2003,M11,November,3.129,11,2003-11-01
APU0000FD3101,2003,M12,December,3.069,12,2003-12-01
APU0000FD3101,2004,M01,January,3.11,1,2004-01-01
APU0000FD3101,2004,M02,February,3.123,2,2004-02-01
APU0000FD3101,2004,M03,March,3.149,3,2004-03-01
APU0000FD3101,2004,M04,April,3.113,4,2004-04-01
APU0000FD3101,2004,M05,May,3.159,5,2004-05-01
APU0000FD3101,2004,M06,June,3.308,6,2004-06-01
APU0000FD3101,2004,M07,July,3.371,7,2004-07-01
APU0000FD3101,2004,M08,August,3.291,8,2004-08-01
APU0000FD3101,2004,M09,September,3.349,9,2004-09-01
APU0000FD3101,2004,M10,October,3.191,10,2004-10-01
APU0000FD3101,2004,M11,November,3.167,11,2004-11-01
APU0000FD3101,2004,M12,December,3.106,12,2004-12-01
APU0000FD3101,2005,M01,January,3.215,1,2005-01-01
APU0000FD3101,2005,M02,February,3.18,2,2005-02-01
APU0000FD3101,2005,M03,March,3.2,3,2005-03-01
APU0000FD3101,2005,M04,April,3.209,4,2005-04-01
APU0000FD3101,2005,M05,May,3.232,5,2005-05-01
APU0000FD3101,2005,M06,June,3.306,6,2005-06-01
APU0000FD3101,2005,M07,July,3.271,7,2005-07-01
APU0000FD3101,2005,M08,August,3.28,8,2005-08-01
APU0000FD3101,2005,M09,September,3.254,9,2005-09-01
APU0000FD3101,2005,M10,October,3.212,10,2005-10-01
APU0000FD3101,2005,M11,November,3.222,11,2005-11-01
APU0000FD3101,2005,M12,December,3.179,12,2005-12-01
APU0000FD3101,2006,M01,January,3.146,1,2006-01-01
APU0000FD3101,2006,M02,February,3.211,2,2006-02-01
APU0000FD3101,2006,M03,March,3.215,3,2006-03-01
APU0000FD3101,2006,M04,April,3.168,4,2006-04-01
APU0000FD3101,2006,M05,May,3.119,5,2006-05-01
APU0000FD3101,2006,M06,June,3.14,6,2006-06-01
APU0000FD3101,2006,M07,July,3.167,7,2006-07-01
