ï»¿Year,Month,Month_Number,Data_Item,Value,Units,Source
2023,July,7.0,Ground chuck retail price,5.253,Dollars per pound,BLS
2023,August,8.0,Ground chuck retail price,5.259,Dollars per pound,BLS
2023,September,9.0,Ground chuck retail price,5.185,Dollars per pound,BLS
2023,October,10.0,Ground chuck retail price,5.349,Dollars per pound,BLS
2023,November,11.0,Ground chuck retail price,5.201,Dollars per pound,BLS
2023,December,12.0,Ground chuck retail price,5.118,Dollars per pound,BLS
2024,January,1.0,Ground chuck retail price,5.093,Dollars per pound,BLS
2024,February,2.0,Ground chuck retail price,5.213,Dollars per pound,BLS
2024,March,3.0,Ground chuck retail price,5.421,Dollars per pound,BLS
2024,April,4.0,Ground chuck retail price,5.277,Dollars per pound,BLS
2024,May,5.0,Ground chuck retail price,5.331,Dollars per pound,BLS
2024,June,6.0,Ground chuck retail price,5.364,Dollars per pound,BLS
2024,July,7.0,Ground chuck retail price,5.47,Dollars per pound,BLS
2024,August,8.0,Ground chuck retail price,5.638,Dollars per pound,BLS
2024,September,9.0,Ground chuck retail price,5.576,Dollars per pound,BLS
2024,October,10.0,Ground chuck retail price,5.586,Dollars per pound,BLS
2024,November,11.0,Ground chuck retail price,5.605,Dollars per pound,BLS
2024,December,12.0,Ground chuck retail price,5.576,Dollars per pound,BLS
2025,January,1.0,Ground chuck retail price,5.495,Dollars per pound,BLS
2025,February,2.0,Ground chuck retail price,5.744,Dollars per pound,BLS
2025,March,3.0,Ground chuck retail price,5.854,Dollars per pound,BLS
2025,April,4.0,Ground chuck retail price,5.996,Dollars per pound,BLS
2025,May,5.0,Ground chuck retail price,6.018,Dollars per pound,BLS
2025,June,6.0,Ground chuck retail price,6.103,Dollars per pound,BLS
2025,July,7.0,Ground chuck retail price,6.338,Dollars per pound,BLS
2023,July,7.0,Ground beef retail price,5.102,Dollars per pound,BLS
2023,August,8.0,Ground beef retail price,5.076,Dollars per pound,BLS
2023,September,9.0,Ground beef retail price,5.109,Dollars per pound,BLS
2023,October,10.0,Ground beef retail price,5.226,Dollars per pound,BLS
2023,November,11.0,Ground beef retail price,5.353,Dollars per pound,BLS
2023,December,12.0,Ground beef retail price,5.21,Dollars per pound,BLS
2024,January,1.0,Ground beef retail price,5.03,Dollars per pound,BLS
2024,February,2.0,Ground beef retail price,5.132,Dollars per pound,BLS
2024,March,3.0,Ground beef retail price,5.132,Dollars per pound,BLS
2024,April,4.0,Ground beef retail price,5.236,Dollars per pound,BLS
2024,May,5.0,Ground beef retail price,5.148,Dollars per pound,BLS
2024,June,6.0,Ground beef retail price,5.472,Dollars per pound,BLS
2024,July,7.0,Ground beef retail price,5.497,Dollars per pound,BLS
2024,August,8.0,Ground beef retail price,5.577,Dollars per pound,BLS
2024,September,9.0,Ground beef retail price,5.67,Dollars per pound,BLS
2024,October,10.0,Ground beef retail price,5.588,Dollars per pound,BLS
2024,November,11.0,Ground beef retail price,5.628,Dollars per pound,BLS
2024,December,12.0,Ground beef retail price,5.605,Dollars per pound,BLS
2025,January,1.0,Ground beef retail price,5.545,Dollars per pound,BLS
2025,February,2.0,Ground beef retail price,5.625,Dollars per pound,BLS
2025,March,3.0,Ground beef retail price,5.79,Dollars per pound,BLS
2025,April,4.0,Ground beef retail price,5.801,Dollars per pound,BLS
2025,May,5.0,Ground beef retail price,5.981,Dollars per pound,BLS
2025,June,6.0,Ground beef retail price,6.12,Dollars per pound,BLS
2025,July,7.0,Ground beef retail price,6.254,Dollars per pound,BLS
2023,July,7.0,Lean & extra lean ground beef retail price,6.851,Dollars per pound,BLS
2023,August,8.0,Lean & extra lean ground beef retail price,6.947,Dollars per pound,BLS
2023,September,9.0,Lean & extra lean ground beef retail price,6.884,Dollars per pound,BLS
2023,October,10.0,Lean & extra lean ground beef retail price,6.991,Dollars per pound,BLS
2023,November,11.0,Lean & extra lean ground beef retail price,6.731,Dollars per pound,BLS
2023,December,12.0,Lean & extra lean ground beef retail price,6.674,Dollars per pound,BLS
2024,January,1.0,Lean & extra lean ground beef retail price,6.778,Dollars per pound,BLS
2024,February,2.0,Lean & extra lean ground beef retail price,6.651,Dollars per pound,BLS
2024,March,3.0,Lean & extra lean ground beef retail price,6.734,Dollars per pound,BLS
2024,April,4.0,Lean & extra lean ground beef retail price,6.809,Dollars per pound,BLS
2024,May,5.0,Lean & extra lean ground beef retail price,6.847,Dollars per pound,BLS
2024,June,6.0,Lean & extra lean ground beef retail price,6.893,Dollars per pound,BLS
2024,July,7.0,Lean & extra lean ground beef retail price,7.169,Dollars per pound,BLS
2024,August,8.0,Lean & extra lean ground beef retail price,6.918,Dollars per pound,BLS
2024,September,9.0,Lean & extra lean ground beef retail price,7.223,Dollars per pound,BLS
2024,October,10.0,Lean & extra lean ground beef retail price,7.22,Dollars per pound,BLS
2024,November,11.0,Lean & extra lean ground beef retail price,6.977,Dollars per pound,BLS
2024,December,12.0,Lean & extra lean ground beef retail price,7.124,Dollars per pound,BLS
2025,January,1.0,Lean & extra lean ground beef retail price,7.11,Dollars per pound,BLS
2025,February,2.0,Lean & extra lean ground beef retail price,7.244,Dollars per pound,BLS
2025,March,3.0,Lean & extra lean ground beef retail price,7.476,Dollars per pound,BLS
2025,April,4.0,Lean & extra lean ground beef retail price,7.551,Dollars per pound,BLS
2025,May,5.0,Lean & extra lean ground beef retail price,7.688,Dollars per pound,BLS
2025,June,6.0,Lean & extra lean ground beef retail price,7.672,Dollars per pound,BLS
2025,July,7.0,Lean & extra lean ground beef retail price,8.035,Dollars per pound,BLS
2023,July,7.0,All uncooked ground beef retail price,5.537,Dollars per pound,BLS
2023,August,8.0,All uncooked ground beef retail price,5.554,Dollars per pound,BLS
2023,September,9.0,All uncooked ground beef retail price,5.57,Dollars per pound,BLS
2023,October,10.0,All uncooked ground beef retail price,5.666,Dollars per pound,BLS
2023,November,11.0,All uncooked ground beef retail price,5.643,Dollars per pound,BLS
2023,December,12.0,All uncooked ground beef retail price,5.566,Dollars per pound,BLS
2024,January,1.0,All uncooked ground beef retail price,5.475,Dollars per pound,BLS
2024,February,2.0,All uncooked ground beef retail price,5.479,Dollars per pound,BLS
2024,March,3.0,All uncooked ground beef retail price,5.522,Dollars per pound,BLS
2024,April,4.0,All uncooked ground beef retail price,5.561,Dollars per pound,BLS
2024,May,5.0,All uncooked ground beef retail price,5.603,Dollars per pound,BLS
2024,June,6.0,All uncooked ground beef retail price,5.712,Dollars per pound,BLS
2024,July,7.0,All uncooked ground beef retail price,5.799,Dollars per pound,BLS
2024,August,8.0,All uncooked ground beef retail price,5.867,Dollars per pound,BLS
2024,September,9.0,All uncooked ground beef retail price,5.917,Dollars per pound,BLS
2024,October,10.0,All uncooked ground beef retail price,5.887,Dollars per pound,BLS
2024,November,11.0,All uncooked ground beef retail price,5.874,Dollars per pound,BLS
2024,December,12.0,All uncooked ground beef retail price,5.863,Dollars per pound,BLS
2025,January,1.0,All uncooked ground beef retail price,5.82,Dollars per pound,BLS
2025,February,2.0,All uncooked ground beef retail price,5.961,Dollars per pound,BLS
2025,March,3.0,All uncooked ground beef retail price,6.137,Dollars per pound,BLS
2025,April,4.0,All uncooked ground beef retail price,6.142,Dollars per pound,BLS
2025,May,5.0,All uncooked ground beef retail price,6.245,Dollars per pound,BLS
2025,June,6.0,All uncooked ground beef retail price,6.342,Dollars per pound,BLS
