MapDate,AreaOfInterest,None,D0,D1,D2,D3,D4,ValidStart,ValidEnd,StatisticFormatID,date,pct_ge_D1,pct_ge_D2
20250819,Total,54.91,45.09,26.77,16.47,5.59,0.48,2025-08-19,2025-08-25,1,2025-08-19,49.309999999999995,22.54
20250812,Total,55.96,44.04,25.06,15.19,4.97,0.5,2025-08-12,2025-08-18,1,2025-08-12,45.72,20.66
20250805,Total,59.02,40.98,25.03,15.03,4.96,0.32,2025-08-05,2025-08-11,1,2025-08-05,45.34,20.31
20250729,Total,57.94,42.06,26.01,15.12,4.79,0.36,2025-07-29,2025-08-04,1,2025-07-29,46.28,20.27
20250722,Total,57.68,42.32,26.31,14.53,4.54,0.32,2025-07-22,2025-07-28,1,2025-07-22,45.699999999999996,19.39
20250715,Total,56.54,43.46,26.65,14.81,4.88,0.62,2025-07-15,2025-07-21,1,2025-07-15,46.96,20.310000000000002
20250708,Total,57.39,42.61,26.25,13.37,4.71,0.63,2025-07-08,2025-07-14,1,2025-07-08,44.96,18.709999999999997
20250701,Total,57.02,42.98,27.3,13.4,4.94,0.75,2025-07-01,2025-07-07,1,2025-07-01,46.39,19.09
20250624,Total,56.69,43.31,25.83,12.86,4.82,1.03,2025-06-24,2025-06-30,1,2025-06-24,44.54,18.71
20250617,Total,60.71,39.29,25.21,12.36,4.82,1.03,2025-06-17,2025-06-23,1,2025-06-17,43.42,18.21
20250610,Total,59.95,40.05,25.12,12.62,5.15,1.11,2025-06-10,2025-06-16,1,2025-06-10,44.0,18.88
20250603,Total,58.11,41.89,24.86,13.51,5.9,1.3,2025-06-03,2025-06-09,1,2025-06-03,45.56999999999999,20.71
20250527,Total,57.45,42.55,26.08,14.52,6.87,1.6,2025-05-27,2025-06-02,1,2025-05-27,49.06999999999999,22.990000000000002
20250520,Total,56.05,43.95,26.58,14.79,7.1,1.64,2025-05-20,2025-05-26,1,2025-05-20,50.11,23.53
20250513,Total,53.73,46.27,27.92,15.25,7.18,1.56,2025-05-13,2025-05-19,1,2025-05-13,51.910000000000004,23.99
20250506,Total,53.03,46.97,29.6,15.63,7.78,1.52,2025-05-06,2025-05-12,1,2025-05-06,54.53000000000001,24.93
20250429,Total,52.65,47.35,31.03,16.35,7.83,1.73,2025-04-29,2025-05-05,1,2025-04-29,56.94,25.91
20250422,Total,50.42,49.58,32.9,17.3,7.52,1.86,2025-04-22,2025-04-28,1,2025-04-22,59.58,26.68
20250415,Total,49.17,50.83,32.56,16.63,7.11,1.86,2025-04-15,2025-04-21,1,2025-04-15,58.16,25.599999999999998
20250408,Total,49.26,50.74,32.29,16.38,7.04,1.41,2025-04-08,2025-04-14,1,2025-04-08,57.12,24.83
20250401,Total,42.55,57.45,36.32,17.74,6.92,1.41,2025-04-01,2025-04-07,1,2025-04-01,62.39,26.069999999999997
20250325,Total,41.89,58.11,37.43,17.65,6.96,1.41,2025-03-25,2025-03-31,1,2025-03-25,63.449999999999996,26.02
20250318,Total,42.12,57.88,37.09,16.77,6.53,1.35,2025-03-18,2025-03-24,1,2025-03-18,61.74,24.650000000000002
20250311,Total,42.28,57.72,36.54,15.87,6.24,0.98,2025-03-11,2025-03-17,1,2025-03-11,59.629999999999995,23.09
20250304,Total,41.85,58.15,37.25,15.73,6.01,0.88,2025-03-04,2025-03-10,1,2025-03-04,59.870000000000005,22.62
20250225,Total,42.83,57.17,34.86,14.57,5.96,0.55,2025-02-25,2025-03-03,1,2025-02-25,55.94,21.080000000000002
20250218,Total,42.52,57.48,33.41,14.52,5.96,0.55,2025-02-18,2025-02-24,1,2025-02-18,54.43999999999999,21.03
20250211,Total,40.51,59.49,36.46,15.52,6.14,0.55,2025-02-11,2025-02-17,1,2025-02-11,58.67,22.21
20250204,Total,41.99,58.01,35.45,14.75,5.82,0.55,2025-02-04,2025-02-10,1,2025-02-04,56.57,21.12
20250128,Total,46.46,53.54,33.22,13.98,4.2,0.46,2025-01-28,2025-02-03,1,2025-01-28,51.86000000000001,18.64
20250121,Total,46.96,53.04,31.5,13.85,4.54,0.46,2025-01-21,2025-01-27,1,2025-01-21,50.35,18.85
20250114,Total,47.33,52.67,30.8,13.61,4.0,0.46,2025-01-14,2025-01-20,1,2025-01-14,48.87,18.07
20250107,Total,45.14,54.86,30.86,12.36,3.98,0.46,2025-01-07,2025-01-13,1,2025-01-07,47.66,16.8
20241231,Total,43.2,56.8,31.87,12.13,3.97,0.46,2024-12-31,2025-01-06,1,2024-12-31,48.43,16.560000000000002
20241224,Total,41.42,58.58,33.15,12.81,3.89,0.46,2024-12-24,2024-12-30,1,2024-12-24,50.31,17.16
20241217,Total,41.31,58.69,32.54,12.63,3.81,0.46,2024-12-17,2024-12-23,1,2024-12-17,49.440000000000005,16.900000000000002
20241210,Total,38.7,61.3,36.79,13.28,4.07,0.47,2024-12-10,2024-12-16,1,2024-12-10,54.61,17.82
20241203,Total,40.21,59.79,36.49,13.62,3.89,0.5,2024-12-03,2024-12-09,1,2024-12-03,54.5,18.009999999999998
20241126,Total,38.14,61.86,34.66,13.67,4.11,0.5,2024-11-26,2024-12-02,1,2024-11-26,52.94,18.28
20241119,Total,35.01,64.99,38.03,14.59,4.22,0.54,2024-11-19,2024-11-25,1,2024-11-19,57.38,19.349999999999998
20241112,Total,30.52,69.48,41.67,17.16,4.12,0.56,2024-11-12,2024-11-18,1,2024-11-12,63.51,21.84
20241105,Total,26.36,73.64,43.4,18.18,3.96,0.5,2024-11-05,2024-11-11,1,2024-11-05,66.03999999999999,22.64
20241029,Total,26.82,73.18,45.27,23.06,5.45,0.53,2024-10-29,2024-11-04,1,2024-10-29,74.31,29.04
20241022,Total,33.35,66.65,41.89,16.73,4.22,0.53,2024-10-22,2024-10-28,1,2024-10-22,63.370000000000005,21.48
20241015,Total,34.9,65.1,37.65,14.76,3.97,0.53,2024-10-15,2024-10-21,1,2024-10-15,56.91,19.26
20241008,Total,36.58,63.42,32.61,11.58,3.3,0.53,2024-10-08,2024-10-14,1,2024-10-08,48.019999999999996,15.409999999999998
20241001,Total,40.48,59.52,26.35,7.77,2.28,0.41,2024-10-01,2024-10-07,1,2024-10-01,36.81,10.459999999999999
20240924,Total,38.83,61.17,28.51,9.06,2.63,0.41,2024-09-24,2024-09-30,1,2024-09-24,40.61,12.100000000000001
20240917,Total,40.81,59.19,29.76,8.98,2.3,0.37,2024-09-17,2024-09-23,1,2024-09-17,41.41,11.65
20240910,Total,41.61,58.39,28.75,8.82,2.02,0.31,2024-09-10,2024-09-16,1,2024-09-10,39.900000000000006,11.15
20240903,Total,44.78,55.22,25.24,7.2,1.91,0.28,2024-09-03,2024-09-09,1,2024-09-03,34.629999999999995,9.389999999999999
20240827,Total,45.34,54.66,23.37,7.58,2.02,0.23,2024-08-27,2024-09-02,1,2024-08-27,33.2,9.83
20240820,Total,52.79,47.21,20.1,6.11,1.48,0.17,2024-08-20,2024-08-26,1,2024-08-20,27.860000000000003,7.76
20240813,Total,55.41,44.59,18.86,5.28,1.01,0.17,2024-08-13,2024-08-19,1,2024-08-13,25.320000000000004,6.46
