horizon,RMSE,MAE,series
1,1476.9727227136552,1079.180920137778,dc
2,1903.3111246366007,1521.5500803925424,dc
3,2246.7871897862797,1883.470955334799,dc
4,2628.2852906382727,2276.8168975321382,dc
5,3089.837968225732,2616.44144460077,dc
6,3849.858416759999,3371.1536335973155,dc
1,1660.4135972765991,1361.6201244898605,office
2,2490.4450597641116,2185.4647363175504,office
3,3323.389284766653,2923.977034548721,office
4,4181.947743453125,3734.172418755356,office
5,4829.93344357192,4291.391985172174,office
6,5624.735547821715,4851.83625672347,office
