date,china,asean5
2017-01-01,41335.553396,11767.385428
2017-02-01,32784.957412,10411.302070999998
2017-03-01,34161.993661,11700.797668000001
2017-04-01,37441.870879,11640.110668
2017-05-01,41756.844722,13008.984825
2017-06-01,42258.078621,12500.055271
2017-07-01,43561.110857,12372.199631000001
2017-08-01,45782.311949,12805.480366
2017-09-01,45405.051275,12203.445142999999
2017-10-01,48133.149629,13141.935432
2017-11-01,48104.793415,13021.045839000002
2017-12-01,44439.382241,12210.118599
2018-01-01,45681.310362,12363.58457
2018-02-01,38956.173961,11468.650790000002
2018-03-01,38273.829291,12480.976149
2018-04-01,38227.767574,12398.861828
2018-05-01,43866.578304,13193.530028000001
2018-06-01,44524.005052,12244.502813000001
2018-07-01,47009.750007,13019.911295
2018-08-01,47796.194112,13968.11702
2018-09-01,49938.049895,13229.285073999998
2018-10-01,52081.070497,14073.990344000002
2018-11-01,46344.570969,12782.94945
2018-12-01,45814.858502,12541.379314000002
2019-01-01,41302.50818,13763.417065
2019-02-01,33027.758098,12876.058696999999
2019-03-01,31078.662933,14257.814631000001
2019-04-01,34499.454932,12854.642854
2019-05-01,39023.881706,14199.335965
2019-06-01,38732.97518,12845.027206
2019-07-01,41237.166159,14319.997558000001
2019-08-01,40955.642945,16636.169111000003
2019-09-01,39866.673154,15112.013583
2019-10-01,39794.889454,16663.357853
2019-11-01,36172.914882,14434.047524
2019-12-01,33418.149084,15195.374541
2020-01-01,32944.673286,15469.210367
2020-02-01,22576.609689,14518.438944000001
2020-03-01,19638.123468,15577.971371
2020-04-01,30730.147843,13005.523352
2020-05-01,36318.738261,12620.054028999999
2020-06-01,37286.885658,14371.725836
2020-07-01,40469.812982,16388.00858
2020-08-01,40598.942662,18234.277700999995
2020-09-01,41003.217161,18266.664881999997
2020-10-01,44654.266193,18768.52294
2020-11-01,44700.409933,18030.014581
2020-12-01,41626.191515,17305.111525
2021-01-01,38835.275419,17482.579087000002
2021-02-01,33816.75994,15900.298551000002
2021-03-01,39934.039704,21495.539795999997
2021-04-01,37371.138998,19766.776332
2021-05-01,38486.525451,21560.159526000003
2021-06-01,39779.270246,20625.524102999996
2021-07-01,40290.914463,20080.316144
2021-08-01,42897.843401,22439.860993
2021-09-01,47350.944635,21015.07053
2021-10-01,47873.453886,21367.16632
2021-11-01,48234.758989,21721.509764999995
2021-12-01,49375.341266,22945.054328
2022-01-01,47667.077458,22242.133988999998
2022-02-01,42297.863971,19739.819122
2022-03-01,47285.271444,26676.457792
2022-04-01,41727.289477,24876.236450000004
2022-05-01,43769.593642,26416.751477
2022-06-01,48488.064176,25468.703019
2022-07-01,46565.042288,23452.220616
2022-08-01,50383.134999,26953.639354
2022-09-01,49270.250025,26194.992485999996
2022-10-01,44670.639494,26159.50728
2022-11-01,36915.67136,22362.383776
2022-12-01,37228.7909,20291.690069
2023-01-01,38166.089291,21844.803834000002
2023-02-01,30569.756691,18856.590220000002
2023-03-01,30791.607258,21250.971298
2023-04-01,33071.357368,20118.80705
2023-05-01,35881.039803,20945.699363
2023-06-01,34312.779447,20925.390231
2023-07-01,36108.078368,21910.012141
2023-08-01,36828.481231,21846.491432
2023-09-01,40247.941237,22632.178642
2023-10-01,41548.452853,23379.042967
2023-11-01,35537.3694,21643.365085999998
2023-12-01,34183.629889,21515.431492000003
2024-01-01,35782.600942,20951.229451
2024-02-01,31863.625771,20484.901903
2024-03-01,29924.780142,22529.032259999996
2024-04-01,31602.676956,22923.684953
2024-05-01,34995.265867,23979.770407
2024-06-01,34169.113741,23706.842949
2024-07-01,40801.06899,25448.498332999996
2024-08-01,39811.237007,25062.305961
2024-09-01,43018.169857,29221.270260999998
2024-10-01,41444.88019,28200.872847999995
2024-11-01,37774.833328,26046.541429
2024-12-01,37553.745287,25998.217938
2025-01-01,41639.17075,27078.167488
2025-02-01,31635.372246,24558.343388
2025-03-01,29383.677776,31969.428848000003
2025-04-01,25378.077558,30893.988413
2025-05-01,20493.855247,32021.018852
2025-06-01,18948.674201,35069.895221
